fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
-0.4133242175,-0.7696902744,0.2003293757,-0.169374247,-0.1161480189,0.6811635996,0.7457657895,0.7700390398,1.3530124184,-0.0480737905,-0.6784321178,0
-0.2410189884,-0.5463010971,-0.3130146495,-0.6658534789,0.3937817802,-0.5616475779,-0.2878157465,-0.0777176579,-0.9140256941,1.4857863528,-0.8661079028,0
0.1035914698,-0.2112173311,-0.8263586748,-0.169374247,-0.073653869,-0.6572484377,0.6241679617,0.0282519293,-0.9140256941,-0.7560092413,-0.9599457954,0
-0.8153697521,-0.7138429801,-0.6723554672,-0.0984486425,-0.052406794,0.48996188,-0.1966173757,0.0282519293,0.7700597609,-0.1660630323,-0.6784321178,1
-1.1599802103,-0.7696902744,-0.5696866622,-0.807704688,-0.1586421689,-0.4660467181,-0.7134081436,-0.6605503875,0.1871071034,-0.5790253786,-1.0537836879,0
-0.4133242175,-0.6579956857,-0.159011442,-0.5240022698,-0.1586421689,-1.1352527367,-1.0782016269,-0.2896568323,-0.2015280016,-0.4020415159,-0.8661079028,0
-0.2410189884,-0.5463010971,-0.3130146495,-0.6658534789,0.3937817802,-0.5616475779,-0.2878157465,-0.0777176579,-0.9140256941,1.4857863528,-0.8661079028,0
-0.7004995994,1.0174231441,-1.3910371026,-0.4530766652,-0.1586421689,-0.1792441386,-0.3486146604,0.2401911037,1.0291498309,-0.6380199995,-0.9599457954,0
-0.2984540648,0.654415731,-1.3910371026,-0.3821510607,-0.1161480189,-0.7528492975,-0.9262043422,-0.1836872451,0.4461971734,-0.4020415159,-0.5845942253,1
-0.9302399048,0.8219576139,-1.0316962849,-0.0984486425,0.0325815058,0.1075584408,1.0801598158,-0.5015960067,0.2518796209,-0.6970146204,-0.3030805478,0
-0.8153697521,0.8778049083,-1.3910371026,-0.0275230379,0.3725347052,0.5855627398,-0.2878157465,-0.0777176579,0.9643773134,-0.5200307577,0.1661089148,1
-0.0112786829,0.7102630253,-0.7750242723,-0.169374247,-0.094900944,-0.0836432788,2.022542981,-0.0777176579,-0.9140256941,0.0109208304,-0.5845942253,0
-0.8153697521,0.4310265537,-0.7750242723,5.7883765356,-0.3073716936,2.3063782163,1.1105592728,1.3528717694,0.8996047959,-0.8150038621,-0.9599457954,1
-1.7917660504,-1.1606213347,-0.1076770394,-0.5240022698,0.3300405553,-0.2748449984,0.1073771937,-0.5545808003,0.4461971734,-0.6380199995,-1.1476215804,0
-0.2984540648,0.654415731,-1.3910371026,2.1002450987,-0.0311597191,-1.0396518769,-0.8654054283,0.9819782142,0.5757422084,-0.6380199995,-0.7722700103,1
-0.2984540648,0.4031029065,-0.6723554672,-0.0984486425,-0.0311597191,-1.2308535965,-0.9566037992,0.3991454846,0.7052872434,-0.343046895,0.3537846998,1
-0.1261488357,-0.8255375687,0.0463261681,-0.3112254561,-0.4561012183,-0.2748449984,-0.5006119451,0.0282519293,-0.5253905891,0.4238831767,-0.6784321178,1
-1.5045906685,3.3630095058,-0.9290274799,-0.7367790835,1.7960887278,-0.8484501573,-0.8350059714,-1.4553222915,1.2234673834,-1.0509823457,-0.5845942253,0
-0.5856294466,-0.4346065084,0.4570013883,2.383947517,-0.2861246186,-0.3704458583,1.2321571005,0.5580998654,0.1223345859,1.0138293856,0.0722710223,0
-0.5856294466,-0.4346065084,0.4570013883,2.383947517,-0.2861246186,-0.3704458583,1.2321571005,0.5580998654,0.1223345859,1.0138293856,0.0722710223,0
0.2758966989,0.4589502008,0.1489949732,0.1852537758,0.0113344309,0.1075584408,-0.014220634,0.4521302782,-0.3310730366,-0.873998483,-1.0537836879,0
-0.4707592939,-0.2112173311,-0.3643490521,0.0434025666,5.195620722,-0.7528492975,-0.9870032561,0.0282519293,-0.6549356241,1.4267917319,0.0722710223,1
-0.1261488357,0.7381866725,-0.261680247,-0.2402998516,-0.3923599935,-0.6572484377,-0.7134081436,0.0282519293,-0.0719829666,3.1966303587,-0.1154047627,0
-0.8728048285,0.7940339668,-1.2883682975,-0.5240022698,-0.7960544178,-1.0396518769,-1.0782016269,-0.2896568323,1.0939223484,-0.8150038621,-0.8661079028,0
-2.1363765086,-0.0436754481,-0.6210210647,-0.3112254561,-0.7110661179,-0.7528492975,0.5633690478,-1.7732310531,3.8143680835,-0.5790253786,2.5120562276,0
-0.3558891411,2.2739872665,0.816342206,-0.2402998516,0.5637583799,0.5855627398,2.0529424379,0.1342215165,-0.3958455541,0.4238831767,-1.1476215804,0
0.2184616226,-1.3281632177,1.2783518287,-0.6658534789,0.542511305,-0.3704458583,-0.2878157465,0.0812367229,-0.3958455541,-0.4610361368,-0.8661079028,0
-1.102545134,-0.7138429801,-0.2103458445,-0.6658534789,-0.4561012183,-1.0396518769,-1.04780217,-0.5015960067,0.1871071034,-0.5790253786,-1.1476215804,0
-1.5620257449,-1.216468629,0.5083357909,-0.807704688,-0.2861246186,-0.3704458583,1.505752213,-0.7135351811,0.0575620684,-0.4610361368,-1.1476215804,0
0.2758966989,0.7381866725,-0.0563426369,-0.5949278744,-0.2861246186,-1.1352527367,-0.7134081436,0.1872063101,-1.0435707291,0.4828777975,-1.1476215804,0
-0.9876749812,-0.0436754481,-1.1856994925,-0.2402998516,-0.3923599935,-0.7528492975,-0.9566037992,-0.6075655939,0.5757422084,-0.1660630323,-0.9599457954,1
-0.9876749812,-0.1553700368,-1.1856994925,-0.3112254561,-0.4136070684,-0.9440510171,-0.9870032561,-0.6605503875,0.5109696909,-0.1070684114,-0.9599457954,1
0.1610265462,-0.8255375687,0.4570013883,0.3271049849,-0.1373950939,1.3503696182,2.2049397226,0.1342215165,-0.7197081416,-0.5790253786,-0.9599457954,0
-0.4133242175,-0.0995227425,-0.6210210647,0.1852537758,0.4787700801,1.6371721976,0.8065647034,-0.6605503875,-0.9140256941,-0.1660630323,-0.2092426553,1
-0.3558891411,0.5147974951,-1.1856994925,0.8945098213,-0.073653869,0.8723653192,-0.044620091,0.5580998654,0.1871071034,-0.7560092413,-0.8661079028,0
1.0799877681,-0.6021483914,1.5350238414,0.6108074031,-0.3711129185,-1.1352527367,-1.1086010838,0.1872063101,-1.7560684217,-0.1660630323,-0.7722700103,0
-0.4707592939,0.5706447895,-0.7750242723,1.8165426805,0.500017155,3.2623868143,1.9313446101,0.8230238334,-0.3310730366,0.6598616602,-0.9599457954,0
-0.2984540648,0.3472556122,-0.4670178571,-0.169374247,-0.2436304687,0.1075584408,0.2289750215,0.3991454846,0.7700597609,-0.4020415159,-0.3969184403,0
-0.5856294466,-0.7696902744,0.2003293757,-0.0984486425,-0.2861246186,-0.6572484377,-0.014220634,-0.2896568323,0.6405147259,-0.6970146204,-0.9599457954,1
0.2758966989,-0.7138429801,0.6623389984,-0.2402998516,-0.1798892438,0.2987601604,0.1681761076,0.6640694526,0.8348322784,-0.1070684114,-1.1476215804,0
-0.3558891411,0.9057285554,1.1243486212,-0.5240022698,0.5850054549,0.3943610202,1.992143524,0.0282519293,-0.6549356241,0.3058939349,-1.0537836879,0
-0.4707592939,-0.0436754481,-0.5696866622,-0.4530766652,-0.052406794,-0.3704458583,-0.3486146604,0.0282519293,0.4461971734,-0.2250576532,-0.8661079028,1
-0.7579346757,1.1570413799,-1.13436509,-0.3821510607,-0.1373950939,-0.2748449984,0.2289750215,-0.0777176579,0.5109696909,-0.5200307577,-0.5845942253,0
-0.643064523,1.1011940856,-1.13436509,1.49737746,-0.0311597191,-1.1352527367,-1.0782016269,-0.2896568323,0.6405147259,-1.5819339338,0.4476225923,0
-0.643064523,1.1011940856,-1.13436509,1.49737746,-0.0311597191,-1.1352527367,-1.0782016269,-0.2896568323,0.6405147259,-1.5819339338,0.4476225923,0
-0.4707592939,-0.0436754481,-0.8263586748,-0.7367790835,-0.1798892438,-0.4660467181,-0.2270168326,0.0282519293,0.7052872434,-0.4610361368,-0.7722700103,0
-0.9876749812,0.9894994969,-1.0316962849,-0.6658534789,-0.2436304687,-0.9440510171,-0.9566037992,-0.2896568323,0.8348322784,-0.4610361368,0.2599468073,0
0.5630720808,-1.1606213347,1.5350238414,-0.3821510607,-0.2861246186,1.0635670388,0.5633690478,0.0812367229,-0.2015280016,0.777850902,0.2599468073,0
-0.183583912,0.9894994969,-1.13436509,-0.4530766652,-0.2861246186,-0.7528492975,-0.8350059714,-0.2896568323,0.1871071034,1.7217648363,0.0722710223,1
-0.3558891411,0.5706447895,-0.9803618824,-0.4530766652,-0.2436304687,-0.0836432788,-0.5918103159,-0.0247328643,0.0575620684,-0.6970146204,-0.8661079028,1
-0.3558891411,0.7940339668,-0.2103458445,-0.3112254561,0.0113344309,0.1075584408,1.505752213,-0.2896568323,0.0575620684,-1.0509823457,-0.8661079028,0
-0.3558891411,0.9057285554,-0.261680247,-0.4530766652,-0.073653869,0.2031593006,1.4449532991,-0.3426416259,-0.0072104491,-1.0509823457,-0.8661079028,0
-0.0112786829,0.8219576139,-0.0563426369,-0.3112254561,-0.073653869,-0.4660467181,-0.1054190048,0.4521302782,-0.0072104491,-0.7560092413,-1.1476215804,0
0.7928123863,-1.1606213347,1.3810206338,-0.0275230379,0.1388168806,1.1591678986,1.1105592728,0.876008627,-0.2015280016,0.9548347647,-0.7722700103,0
0.2758966989,-0.6579956857,1.8943646591,-0.2402998516,0.1175698057,-0.6572484377,-0.1358184618,0.9819782142,1.4825574534,0.0109208304,0.0722710223,0
0.2758966989,-0.6579956857,1.8943646591,-0.2402998516,0.1175698057,-0.6572484377,-0.1358184618,0.9819782142,1.4825574534,0.0109208304,0.0722710223,0
-0.8728048285,1.4362778515,-1.3910371026,-0.0984486425,0.3512876303,-0.1792441386,-0.5006119451,-0.0777176579,1.3530124184,-0.6380199995,0.2599468073,1
-0.9302399048,1.2408123214,-0.7750242723,-0.3821510607,-0.0311597191,-0.3704458583,1.0193609019,-0.5015960067,0.4461971734,-0.8150038621,-0.3030805478,0
-0.0112786829,0.5427211423,-0.3643490521,-0.7367790835,-0.1586421689,1.0635670388,2.2049397226,0.2401911037,-0.9787982116,2.7246733916,-1.2414594729,0
-1.2174152867,-0.4346065084,-0.3643490521,-0.6658534789,-0.3923599935,-1.2308535965,-0.9566037992,-0.5015960067,0.6405147259,-0.5790253786,-1.1476215804,0
-0.2984540648,-0.5463010971,2.2023710742,-0.4530766652,8.0002346172,0.5855627398,0.6241679617,0.346160691,-1.1731157641,3.6685873259,-0.9599457954,0
-0.5281943702,-0.1553700368,1.0216798161,-0.3821510607,-0.0311597191,0.48996188,0.8065647034,0.1342215165,0.3166521384,-0.5200307577,-1.2414594729,0
-0.5856294466,0.7940339668,-0.0563426369,-0.5240022698,6.6616688945,0.011957581,0.1377766507,0.0812367229,-0.9787982116,2.8426626334,-0.9599457954,0
-1.1599802103,-1.2723159233,1.0730142186,-0.5240022698,-0.3923599935,0.2031593006,0.4417712201,-0.4486112131,0.8348322784,0.7188562811,-0.1154047627,1
-0.8153697521,0.1238664349,-0.6210210647,-0.2402998516,-0.2436304687,0.2987601604,-0.1966173757,-0.3426416259,0.6405147259,-0.4020415159,-0.3030805478,0
0.1610265462,-0.2112173311,0.0463261681,-0.4530766652,0.4787700801,0.3943610202,2.7217304906,0.2401911037,-2.4685661142,7.6212269259,-0.4907563328,1
-0.3558891411,-0.2112173311,-0.0563426369,-0.4530766652,-0.5410895182,-0.6572484377,-0.4702124881,-0.0777176579,0.5109696909,-0.1070684114,-0.7722700103,0
0.5630720808,-0.7696902744,0.8676766085,-0.3112254561,0.4150288552,1.7327730574,2.3873364642,0.5580998654,-1.1083432466,3.3146196005,-0.8661079028,0
-0.7579346757,0.5147974951,-0.9803618824,-0.5240022698,-0.2436304687,-0.7528492975,-0.6830086867,0.5580998654,1.0939223484,-0.7560092413,-1.3352973654,0
-0.2410189884,-0.0436754481,-0.0563426369,-0.4530766652,-0.1798892438,2.4975799359,2.8433283183,-0.1836872451,-0.5253905891,-0.6970146204,-0.8661079028,0
0.1610265462,-0.2112173311,0.0463261681,-0.4530766652,0.4787700801,0.3943610202,2.7217304906,0.2401911037,-2.4685661142,7.6212269259,-0.4907563328,1
0.1610265462,-0.2112173311,0.0976605707,-0.3821510607,0.4787700801,0.2987601604,2.6305321198,0.2401911037,-2.4685661142,7.7982107885,-0.5845942253,0
-0.3558891411,-0.2112173311,-0.0563426369,-0.4530766652,-0.5410895182,-0.6572484377,-0.4702124881,-0.0777176579,0.5109696909,-0.1070684114,-0.7722700103,0
-1.9066362031,2.7486892682,-1.1856994925,-0.807704688,-0.9022897926,2.4019790761,1.1713581866,-1.5612918787,2.842780321,-1.0509823457,0.0722710223,0
-2.0789414323,0.4031029065,-0.5183522596,-0.169374247,-0.6260778181,0.1075584408,1.8097467824,-1.8792006403,3.490505496,-0.343046895,2.3243804426,1
-0.8728048285,1.3804305572,-1.3910371026,0.3271049849,0.3087934804,-0.7528492975,-0.7134081436,-0.1307024515,0.8996047959,-0.5790253786,0.2599468073,0
-0.7579346757,-0.1553700368,-0.1076770394,-0.3821510607,-0.3711129185,-1.2308535965,-0.7438076006,-0.2366720387,-0.3958455541,-0.1660630323,-1.1476215804,0
-0.4133242175,2.0785217363,-1.0830306874,-0.0275230379,-0.1798892438,-1.0396518769,-1.1086010838,-0.0247328643,0.5109696909,-0.5790253786,-0.5845942253,0
-0.1261488357,0.0959427877,-0.4670178571,-0.4530766652,-0.1586421689,-0.2748449984,-0.3486146604,0.2401911037,-0.0719829666,-0.4020415159,-1.3352973654,1
-0.0112786829,0.4589502008,0.1489949732,-0.3112254561,-0.073653869,-0.4660467181,0.1073771937,0.2401911037,0.5757422084,-0.2840522741,-0.2092426553,1
-0.2984540648,-0.1553700368,0.1489949732,-0.4530766652,-0.2648775437,-0.7528492975,-0.7438076006,-0.4486112131,-0.0072104491,-0.5790253786,-0.0215668702,1
-0.1261488357,0.0959427877,-0.4670178571,-0.4530766652,-0.1586421689,-0.2748449984,-0.3486146604,0.2401911037,-0.0719829666,-0.4020415159,-1.3352973654,1
-0.1261488357,0.2634846707,-0.261680247,-0.3112254561,-0.2223833937,-0.3704458583,0.5633690478,-0.0247328643,-0.1367554841,-0.873998483,-1.1476215804,0
-0.643064523,-0.2112173311,-0.159011442,-0.2402998516,-0.3711129185,-1.0396518769,-0.3182152034,-0.3956264195,0.1223345859,-1.0509823457,-0.9599457954,0
-0.1261488357,0.2634846707,-0.261680247,-0.3112254561,-0.2223833937,-0.3704458583,0.5633690478,-0.0247328643,-0.1367554841,-0.873998483,-1.1476215804,0
-0.2984540648,-0.6579956857,2.0997022692,-0.5949278744,8.0639758421,0.2031593006,0.6849668756,0.2931758973,-1.4969783516,3.8455711886,-1.0537836879,0
-1.2174152867,0.5706447895,0.2003293757,-0.5949278744,0.0113344309,-0.0836432788,0.5329695909,0.0812367229,0.9643773134,0.777850902,-1.0537836879,0
-0.183583912,-1.1047740403,1.3296862313,-0.0275230379,0.0750756558,0.2031593006,1.0193609019,0.4521302782,0.3814246559,0.8368455229,-0.7722700103,1
-0.1261488357,1.4362778515,1.2783518287,-0.3821510607,0.7337349796,2.0195756369,3.2385212585,0.0812367229,-0.6549356241,0.1879046931,-1.0537836879,0
-0.2984540648,0.1797137292,-0.4156834546,-0.5240022698,0.3512876303,-0.3704458583,0.0161788229,-0.1836872451,-0.7844806591,1.6037755946,-0.8661079028,0
0.0461563935,0.5147974951,-0.9290274799,-0.2402998516,-0.073653869,-0.4660467181,1.8705456963,-0.1836872451,-1.0435707291,0.0109208304,-0.5845942253,0
0.0461563935,0.4031029065,-0.8776930773,-0.2402998516,-0.052406794,-0.1792441386,1.9617440671,-0.1836872451,-1.0435707291,0.0109208304,-0.5845942253,0
1.0225526918,-1.216468629,0.8676766085,-0.169374247,-0.1586421689,0.5855627398,-0.014220634,1.0879478014,0.0575620684,0.0699154513,-0.6784321178,1
-0.2984540648,0.1797137292,-0.4156834546,-0.5240022698,0.3512876303,-0.3704458583,0.0161788229,-0.1836872451,-0.7844806591,1.6037755946,-0.8661079028,0
0.6205071572,-0.7138429801,0.2003293757,-0.2402998516,0.0538285808,-0.2748449984,0.472170677,-0.0777176579,-1.5617508691,-0.1660630323,0.0722710223,1
-0.0112786829,0.0680191405,0.0463261681,-0.4530766652,-0.2223833937,-0.4660467181,-0.1966173757,0.5580998654,0.5109696909,-0.2840522741,-0.3969184403,1
-0.2984540648,0.1797137292,-0.7750242723,-0.3821510607,-0.1161480189,-0.8484501573,-0.5614108589,0.1342215165,0.3814246559,-0.9329931039,-0.9599457954,1
0.2758966989,0.1238664349,-1.1856994925,-0.2402998516,0.6699937547,-0.1792441386,0.2897739354,-0.2896568323,-0.6549356241,-0.343046895,0.4476225923,1
-0.7579346757,0.9057285554,-0.9803618824,-0.5240022698,0.2025581055,0.5855627398,1.2929560144,-0.4486112131,0.1871071034,-0.6970146204,-1.1476215804,1
-0.5856294466,3.0279257399,-0.9290274799,-0.5949278744,1.9235711776,-0.5616475779,1.2929560144,-0.2896568323,-0.0719829666,-0.5200307577,-1.3352973654,0
0.2758966989,0.1238664349,-1.1856994925,-0.2402998516,0.6699937547,-0.1792441386,0.2897739354,-0.2896568323,-0.6549356241,-0.343046895,0.4476225923,1
-0.5856294466,0.9336522026,-1.3910371026,-0.0275230379,-0.2648775437,-1.2308535965,-1.017402713,0.6640694526,1.1586948659,-0.8150038621,-1.1476215804,0
-0.183583912,1.0174231441,-1.3910371026,0.0434025666,-0.1586421689,-0.4660467181,-0.3790141173,0.4521302782,0.8348322784,-0.7560092413,-0.8661079028,0
-0.2984540648,-0.1553700368,-0.5183522596,-0.6658534789,-0.1161480189,0.48996188,1.6881489546,-0.3956264195,0.5109696909,-1.0509823457,-0.8661079028,0
0.3907668517,0.5147974951,-1.1856994925,-0.4530766652,1.2436647788,1.0635670388,1.3233554713,0.876008627,-0.9787982116,0.246899314,-0.9599457954,0
-0.0687137593,4.4799553924,-1.3910371026,-0.5949278744,-0.1373950939,-1.2308535965,-1.04780217,-0.1836872451,1.4177849359,-0.9919877248,0.4476225923,0
-0.1261488357,4.4799553924,-1.3910371026,-0.5240022698,-0.1161480189,-1.2308535965,-1.04780217,-0.1836872451,1.4825574534,-1.0509823457,0.4476225923,0
-0.183583912,0.3472556122,-0.5696866622,-0.5240022698,-0.4773482933,-1.2308535965,-0.9262043422,-0.2896568323,0.7052872434,1.5447809737,0.0722710223,1
-1.2748503631,-0.8255375687,-0.6210210647,-0.5240022698,-0.3286187686,-0.9440510171,-0.8350059714,-0.6605503875,0.7052872434,-0.5200307577,-0.9599457954,0
-0.183583912,1.2128886742,1.4836894388,-0.3821510607,0.6487466798,1.3503696182,2.6609315767,0.0282519293,-0.4606180716,0.0109208304,-0.9599457954,0
-1.5620257449,-0.1553700368,-0.9290274799,-0.169374247,-0.8173014927,0.1075584408,1.5969505838,-1.6142766723,2.065510111,-0.1660630323,2.4182183351,0
-1.5620257449,-0.1553700368,-0.9290274799,-0.169374247,-0.8173014927,0.1075584408,1.5969505838,-1.6142766723,2.065510111,-0.1660630323,2.4182183351,0
-0.9876749812,-0.1553700368,-1.3397027001,-0.7367790835,-0.5835836681,0.1075584408,-0.6222097728,-0.8195047683,0.5757422084,-0.4610361368,-0.5845942253,1
-0.2410189884,2.8603838569,-1.13436509,-0.2402998516,-0.073653869,-0.2748449984,-0.531011402,-0.4486112131,-0.5901631066,-0.6380199995,-0.4907563328,1
0.0461563935,1.2128886742,-0.8263586748,-0.4530766652,0.0538285808,0.011957581,0.502570134,-0.1307024515,-0.7844806591,0.9548347647,-0.7722700103,0
-0.0112786829,1.0453467913,-0.6210210647,-0.5240022698,0.0325815058,-0.5616475779,0.1681761076,0.0282519293,-0.5253905891,0.6598616602,-0.8661079028,0
-0.643064523,-0.6300720386,0.4570013883,-0.3821510607,-0.1373950939,-0.2748449984,-0.044620091,0.2401911037,1.0939223484,-0.1070684114,-1.1476215804,0
-0.2984540648,0.1797137292,-0.4156834546,-0.3112254561,-0.1373950939,-0.0836432788,1.7793473254,-0.2896568323,0.1223345859,-0.6970146204,-0.8661079028,0
-0.2984540648,0.1797137292,-0.4156834546,-0.3821510607,-0.1373950939,0.1075584408,1.8705456963,-0.2896568323,0.0575620684,-0.6970146204,-0.8661079028,0
0.0461563935,1.2128886742,-0.8263586748,-0.4530766652,0.0538285808,0.011957581,0.502570134,-0.1307024515,-0.7844806591,0.9548347647,-0.7722700103,0
-0.0112786829,1.0453467913,-0.6210210647,-0.5240022698,0.0325815058,-0.5616475779,0.1681761076,0.0282519293,-0.5253905891,0.6598616602,-0.8661079028,0
-1.7917660504,-1.048926746,-1.3910371026,-0.5240022698,-0.7960544178,1.0635670388,0.502570134,-2.7269573379,2.3893726985,0.777850902,3.3565972602,1
-1.1599802103,-0.7696902744,-0.9803618824,-0.5949278744,-0.4561012183,-1.2308535965,-0.8046065145,-0.7135351811,0.1871071034,-0.4610361368,-0.9599457954,0
-1.7917660504,-1.048926746,-1.3910371026,-0.5240022698,-0.7960544178,1.0635670388,0.502570134,-2.7269573379,2.3893726985,0.777850902,3.3565972602,1
-0.1261488357,0.7940339668,1.4323550363,-0.5240022698,0.6274996048,1.5415713378,2.8737277753,0.0282519293,-0.9140256941,-0.2250576532,-0.9599457954,0
-1.4471555922,0.8498812611,-1.2883682975,-0.5240022698,-0.0099126441,0.48996188,1.4449532991,-1.2433831171,1.4825574534,-0.8150038621,-0.3969184403,0
-0.4133242175,-0.2112173311,-0.0563426369,-0.6658534789,3.1559015255,-0.5616475779,1.2625565575,0.0282519293,-1.3026607991,0.8368455229,-1.0537836879,0
-0.8153697521,-0.2112173311,-0.8776930773,-0.169374247,-0.2861246186,-0.3704458583,-0.5006119451,-0.4486112131,0.7052872434,-0.4610361368,-0.2092426553,1
-0.0687137593,-0.7138429801,0.8676766085,0.1852537758,0.0325815058,-0.4660467181,-0.1054190048,0.3991454846,1.4177849359,-0.2840522741,0.0722710223,1
-0.5856294466,-1.1047740403,1.0216798161,-0.3112254561,-0.2223833937,-1.0396518769,-1.0782016269,-0.5015960067,0.1223345859,-0.7560092413,-0.1154047627,1
0.5056370044,-0.0436754481,3.74240315,0.6108074031,11.1023075619,1.5415713378,0.6849668756,1.5118261502,-3.6992439467,7.9162000303,-0.9599457954,0
-0.4707592939,0.4031029065,-1.237033895,-0.5240022698,0.1600639556,0.8723653192,1.5969505838,-0.9254743555,0.2518796209,-0.6970146204,-0.3030805478,0
-0.4707592939,0.4031029065,-1.237033895,-0.5240022698,0.1600639556,0.8723653192,1.5969505838,-0.9254743555,0.2518796209,-0.6970146204,-0.3030805478,0
-0.7004995994,-0.5463010971,0.7650078035,2.1002450987,-0.3711129185,1.2547687584,2.508934292,0.2931758973,0.7052872434,0.3648885558,0.0722710223,0
-0.7004995994,-0.5463010971,0.7650078035,2.1002450987,-0.3498658435,1.1591678986,2.4785348351,0.2931758973,0.7052872434,0.3058939349,0.0722710223,0
-0.7004995994,-0.5463010971,0.7650078035,2.1002450987,-0.3711129185,1.2547687584,2.508934292,0.2931758973,0.7052872434,0.3648885558,0.0722710223,0
-0.7004995994,-0.5463010971,0.7650078035,2.1002450987,-0.3498658435,1.1591678986,2.4785348351,0.2931758973,0.7052872434,0.3058939349,0.0722710223,0
-0.7004995994,0.8498812611,-1.3910371026,-0.2402998516,-0.3073716936,-0.3704458583,-0.7438076006,0.0812367229,1.0939223484,-0.9329931039,-1.0537836879,0
-0.8728048285,0.4031029065,-0.4670178571,-0.4530766652,-0.1798892438,0.2031593006,1.2017576436,0.0282519293,1.8064200409,-0.5200307577,-1.0537836879,1
-0.4133242175,2.3577582079,-1.237033895,-0.3821510607,0.0538285808,-0.8484501573,-0.8046065145,-0.4486112131,-0.7197081416,-0.5790253786,-0.7722700103,0
-0.4133242175,0.8498812611,-1.2883682975,-0.8786302926,-0.3286187686,-0.6572484377,-0.8046065145,-0.1307024515,-0.9140256941,2.488694908,-1.1476215804,0
-0.2984540648,0.0121718462,-1.1856994925,-0.5949278744,-0.2436304687,0.1075584408,-0.4702124881,-0.1836872451,0.1223345859,-0.5790253786,-0.3969184403,1
